item,itemLabel,metid,sitelinks,sitelink
http://www.wikidata.org/entity/Q28092249,Night-Shining White,39901,16,https://en.wikipedia.org/wiki/Night-Shining_White
http://www.wikidata.org/entity/Q29384413,Panel with striding lion,322585,1,https://en.wikipedia.org/wiki/Panel_with_striding_lion
http://www.wikidata.org/entity/Q60761219,Carp and Pine,54425,1,https://en.wikipedia.org/wiki/Carp_and_Pine
http://www.wikidata.org/entity/Q2408910,"A Goldsmith in His Shop, Possibly Saint Eligius",459052,11,https://en.wikipedia.org/wiki/A_Goldsmith_in_His_Shop
http://www.wikidata.org/entity/Q19924223,"Searchlight on Harbor Entrance, Santiago de Cuba",11136,1,"https://en.wikipedia.org/wiki/Searchlight_on_Harbor_Entrance,_Santiago_de_Cuba"
http://www.wikidata.org/entity/Q59399218,Autumn Ivy,45076,2,https://en.wikipedia.org/wiki/Autumn_Ivy_(Ogata_Kenzan)
http://www.wikidata.org/entity/Q78664918,"Waxwings, Cherry Blossoms, and Bamboo",77204,1,"https://en.wikipedia.org/wiki/Waxwings,_Cherry_Blossoms,_and_Bamboo"
http://www.wikidata.org/entity/Q3172087,Fur Traders Descending the Missouri,10159,6,https://en.wikipedia.org/wiki/Fur_Traders_Descending_the_Missouri
http://www.wikidata.org/entity/Q3172216,Dressing for the Carnival,11116,4,https://en.wikipedia.org/wiki/Dressing_for_the_Carnival
http://www.wikidata.org/entity/Q3842385,Madonna and Child,437824,7,https://en.wikipedia.org/wiki/Bache_Madonna
http://www.wikidata.org/entity/Q3937689,Brother Gregorio Belo of Vicenza,436917,6,https://en.wikipedia.org/wiki/Portrait_of_Brother_Gregorio_Belo_of_Vicenza
http://www.wikidata.org/entity/Q4656688,A Faun Teased by Children,206399,8,https://en.wikipedia.org/wiki/A_Faun_Teased_by_Children
http://www.wikidata.org/entity/Q12141828,Prisoners from the Front,11133,2,https://en.wikipedia.org/wiki/Prisoners_from_the_Front
http://www.wikidata.org/entity/Q18437007,The Wolf and Fox Hunt,437536,3,https://en.wikipedia.org/wiki/The_Wolf_and_Fox_Hunt
http://www.wikidata.org/entity/Q19904842,Self-Portrait with Two Pupils,436840,5,https://en.wikipedia.org/wiki/Self-Portrait_with_Two_Pupils
http://www.wikidata.org/entity/Q19905359,The Sacrifice of Polyxena,437496,1,https://en.wikipedia.org/wiki/The_Sacrifice_of_Polyxena_(Giovanni_Francesco_Romanelli)
http://www.wikidata.org/entity/Q19911538,The Holy Family with Saints Anne and Catherine of Alexandria,437455,2,https://en.wikipedia.org/wiki/The_Holy_Family_with_Saints_Anne_and_Catherine_of_Alexandria
http://www.wikidata.org/entity/Q19911869,Self-Portrait,436210,4,"https://en.wikipedia.org/wiki/Self-Portrait_(Dou,_New_York)"
http://www.wikidata.org/entity/Q19912975,A Woman and Two Men in an Arbor,436679,2,https://en.wikipedia.org/wiki/A_Woman_and_Two_Men_in_an_Arbour
http://www.wikidata.org/entity/Q19923845,Tommies Bathing,12440,2,https://en.wikipedia.org/wiki/Tommies_Bathing_(John_Singer_Sargent)
http://www.wikidata.org/entity/Q19924628,Portrait of the Artist,10409,3,https://en.wikipedia.org/wiki/Portrait_of_the_Artist_(Mary_Cassatt)
http://www.wikidata.org/entity/Q19924663,On the Thames,10198,1,https://en.wikipedia.org/wiki/On_the_Thames_(Frank_Myers_Boggs)
